Time_ms,CKA_Before,CKA_After
1.000000000000000000e+02,9.980185190268925366e-01,9.992883888799316550e-01
2.000000000000000000e+02,9.853693243161756321e-01,9.986624815026108326e-01
3.000000000000000568e+02,9.865196660830050090e-01,1.000000000000000000e+00
4.000000000000000000e+02,9.856720108341197051e-01,9.930269993203026946e-01
5.000000000000000000e+02,9.912221678604885566e-01,9.993046765424766775e-01
6.000000000000000000e+02,9.809806365078809209e-01,1.000000000000000000e+00
7.000000000000000000e+02,9.965226923081339505e-01,9.988030906112826957e-01
7.999999999999998863e+02,9.871146860475442653e-01,9.989119184260465412e-01
8.999999999999998863e+02,9.911362891294518418e-01,1.000000000000000000e+00
9.999999999999998863e+02,9.844272503743366487e-01,9.947524828205303038e-01
